pdb_id,molecule_name,entry_uniprot_accession,experimental_method,title
5pos,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10919a
5qdl,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000072a
5qf1,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000272b
5qgh,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with FMOPL000420a
5qi2,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000110a
5qjo,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z57292369
5qpb,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with FMOPL000701a
5qqq,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z2856434857
5qs7,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z32327641
5po9,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N07950b
5qez,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000713b
5qgz,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NUOOA000161
5qei,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_PKTTA024495b
5qg8,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000555a
5qhv,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000299a
5qji,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1899842917
5qor,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z1203490773
5qqa,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOOA000648a
5qrx,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z364328788
5qsx,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z2856434812
5pof,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10941a
5qes,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000141a
5qp9,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z100435060
5qrh,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z32327641
5qsw,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z2856434884
5qg3,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000662a
5qhp,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FMOPL000554a
5qjc,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z755044716
5qpq,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000631a
5qri,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z2856434826
5qsf,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z2856434814
5q27,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000421a
5qeb,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000639a
5qgg,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with FMOPL000693a
5qhz,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000385a
5qjk,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z373221060
5qpt,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000642a
5qrs,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z1891773393
5pop,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10987a
5qen,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000955b
5pod,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N07807b
5qdx,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000484a
5qfm,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000269a
5qhk,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FMOPL000010a
5qjl,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z56983806
5qpf,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000478a
5qre,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z117233350
5pob,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with E13683b
5po5,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10192a
5qeh,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000323a
5qj5,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of NUDT5 in complex with Z44592329
5phc,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09649a
5pok,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10908a
5qdh,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000004a
5qfb,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_PKOOA000283c
5qgk,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with FMOPL000679a
5qid,2-Hydroxyacid oxidase 1,Q9UJM8,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of HAO1 in complex with Z1787627869
5qp7,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with PB1230873739
5qrb,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z2856434868
5qet,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOMB000017a
5qg5,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000811b
5qhn,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FMOPL000622a
5qjm,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z328695024
5qpm,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000500a
5qr7,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z57299529
5qsm,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z57261895
5pog,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N11063a
5q1p,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000299a
5q23,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000543a
5qe2,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000398a
5qft,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000683b
5qht,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000065a
5qjw,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z198194396
5qpl,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000464a
5qrq,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z645232558
5poe,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10188a and N07807b
5qel,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000675b
5qfx,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000953b
5qhg,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NU000442a
5qoi,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with FMOPL000213a
5qq2,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000693a
5qro,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z1506050651
5qsd,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z54571979
5pol,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10971a
5qev,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000603b
5qqn,Ras-related C3 botulinum toxin substrate 1,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-010-382-606
5qqn,Kalirin,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-010-382-606
5qox,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z2212124043
5qr8,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z57258487
5ph9,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09701a
5qsi,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z933326822
5qff,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000515a
5q1q,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000294a
5qe9,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000232a
5qfn,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000324a
5q1w,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000546a
5qdn,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000163a
5qf6,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMSOA000281b
5qgt,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with FMOPL000609a
5qp0,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z454376544
5qql,Ras-related C3 botulinum toxin substrate 1,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-565-301
5qql,Kalirin,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-565-301
5pot,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10931a
5qqg,Kalirin,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-541-216
5po7,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N11083a
5qe1,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000645a
5qfr,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000497a
5qhw,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000347a
5poa,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10186a
5qp8,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with PB1787571279
5qrd,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z1328968520
5qq4,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000276a
5qrj,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury in complex with Z416341642
5qsg,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z2856434903
5pha,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09398a
5q1y,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000032a
5qhi,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FMOPL000271a
5qjp,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1578665941
5q29,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000058a
5qdw,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000465a
5qfw,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000497a
5qi0,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000352a
5qjt,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z969560582
5qp5,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z2895259681
5qr6,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z44567722
5qsh,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z2856434868
5pp0,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N11009a
5qe5,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000632a
5qfq,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000491a
5qhj,Protein FAM83B,Q5T0W9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of human FAM83B in complex with FMOPL000709a
5qj6,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z1614545742
5qqv,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z1545312521
5qem,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000217b
5qgo,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with OX-220
5q22,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000728a
5qek,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOZE000092b
5qgp,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with OX-221
5qi4,Protein mono-ADP-ribosyltransferase PARP14,Q460N5,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human PARP14 Macrodomain 3 in complex with FMOPL000466a
5qk2,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z54628578
5qqj,Ras-related C3 botulinum toxin substrate 1,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-587-558
5qqj,Kalirin,"P63000,O60229",X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of Kalirin/Rac1 in complex with MolPort-009-587-558
5poh,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N11029a
5qef,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOPL000134a
5qgd,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_FMOOA000611a
5qig,2-Hydroxyacid oxidase 1,Q9UJM8,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of HAO1 in complex with Z1407672867
5qov,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with Z1699011516
5qqz,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z1675346324
5pb8,Bromodomain adjacent to zinc finger domain protein 2B,Q9UIF8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BAZ2B in complex with N09522a
5phk,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09720a
5poo,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10966a
5ph4,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09597a
5qps,Farnesyl diphosphate synthase,Q8WS26,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of T. cruzi FPPS in complex with FMOPL000644a
5qr5,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z2241115980
5qsc,T-box transcription factor T,O15178,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human Brachyury G177D variant in complex with Z300245038
5fz9,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment thieno(3,2-b)thiophene-5-carboxylic acid (N06263b) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fz4,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with 3D fragment (3R)-1-[(3-phenyl-1,2,4-oxadiazol-5-yl)methyl]pyrrolidin-3-ol (N10057a) (ligand modelled based on PANDDA event map, SGC - Diamond I04-1 fragment screening)"
5fz3,Lysine-specific demethylase 5B,Q9UGL1,X-ray diffraction,"Crystal structure of the catalytic domain of human JARID1B in complex with Maybridge fragment 3,6-Dihydroxybenzonorbornane (N08776b) (ligand modelled based on PANDDA event map)"
5q1l,DNA cross-link repair 1A protein,Q6PJP8,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCLRE1A in complex with FMOPL000073a
5qdq,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000847b
5qfo,Tyrosine-protein phosphatase non-receptor type 1,P18031,X-ray diffraction,PanDDA analysis group deposition -- Crystal structure of PTP1B in complex with compound_XST00000644b
5qhh,Peroxisomal coenzyme A diphosphatase NUDT7,P0C024,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT7 in complex with NU000443a
5qjg,ADP-sugar pyrophosphatase,Q9UKK9,X-ray diffraction,PanDDA analysis group deposition of models with modelled events (e.g. bound ligands) -- Crystal Structure of NUDT5 in complex with Z44567722
5qoy,m7GpppN-mRNA hydrolase,Q8IU60,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of DCP2 (NUDT20) in complex with YW-FY-378
5qr3,"5-aminolevulinate synthase\, erythroid-specific\, mitochondrial",P22557,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human ALAS2A in complex with Z915492990
5qsy,Cohesin subunit SA-1,Q8WVM7,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of human STAG1 in complex with Z755044716
5phj,Lysine-specific demethylase 4D,Q6B0I6,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of JMJD2D in complex with N09400a
5pom,Bromodomain-containing protein 1,O95696,X-ray diffraction,PanDDA analysis group deposition -- Crystal Structure of BRD1 in complex with N10958a
